work_A,work_B,jaccardSimilarity
36905,9159,0.10746402877697842
36905,9160,0.10458302028549962
36905,9186,0.18684945417618684
36905,9187,0.1698063840920984
36905,9325,0.16547749725576288
36905,9326,0.08599846977811783
36905,9369,0.16653501843075302
36905,9375,0.11287945770704391
36905,9950,0.13944472236118058
36905,31218,0.19081532416502947
36905,33328,0.09138813610358326
36905,33329,0.11481314723097703
36905,35264,0.21866642073226966
36905,38126,0.20747880281179795
36905,43335,0.12218649517684887
36905,44174,0.21120383522727273
36905,45123,0.21521537031298418
36905,45635,0.1459323455409561
36905,46157,0.15790968474865094
36905,46987,0.20960211124644743
36905,2188,0.21652003910068426
36905,24043,0.07760635811126694
36905,24288,0.15247178936055883
36905,27822,0.21362842166569598
36905,31199,0.16398390342052313
36905,33863,0.14210668103448276
36905,33864,0.15259529075061792
36905,34521,0.15904168922577153
36905,38402,0.22208073347765186
36905,40117,0.06861989205859677
36905,45579,0.18730933496034166
36905,312161,0.14577827236055085
36905,47804,0.18920738745671412
36905,6383,0.17863675161565662
36905,6496,0.18333542477098758
36905,6498,0.20430107526881722
36905,6499,0.19630536389939907
36905,6503,0.139031172252305
36905,6504,0.1742560553633218
36905,6505,0.1852667011910927
36905,6518,0.1530708238140035
36905,6525,0.18997263000746453
36905,6549,0.19349195241427572
36905,6649,0.12027103331451157
36905,77182,0.18486293206197854
36905,7939,0.05809064008721383
36905,20977,0.09931454683929931
36905,24212,0.06668753913587977
36905,24213,0.07015625
36905,24214,0.13700990952175787
36905,6651,0.1460802513208625
36905,74008,0.18449139620997604
36905,8889,0.17203548085901027
36905,8895,0.18301148554840338
36905,8915,0.12420104590354446
36905,8916,0.1138035482475119
36905,8917,0.06312548113933796
36905,8919,0.16811224489795917
36905,8921,0.17747091164812684
36905,8922,0.14392523364485982
36905,8923,0.12401320510980336
36905,8925,0.12697721665941084
36905,8926,0.1662760237143251
36905,8927,0.15964063579820317
36905,30165,0.21567516525023608
36905,64417,0.22214272938651405
36905,64482,0.21103072441980644
36905,64718,0.21963867514218802
36905,64869,0.2102017937219731
36905,65089,0.21240571336864067
36905,65212,0.22306315104166666
36905,65346,0.21434451533237292
36905,65648,0.2302810516772439
36905,66437,0.21099744245524296
36905,66673,0.2127566622979467
36905,66904,0.20983905253568175
36905,66952,0.22317510969286
36905,2187,0.18975876602995248
36905,2313,0.2025134305448964
36905,2314,0.2028483829492632
36905,46580,0.18699789890001237
46184,47311,0.20273692150207423
46184,52912,0.2606728310053118
46184,5323,0.27677044132740336
46184,53628,0.2649234968752245
46184,75277,0.2111801242236025
46184,10353,0.07335164835164835
46184,10354,0.09042775532952486
46184,10425,0.18575216972034717
46184,10426,0.18034306907742234
46184,10428,0.16831057157309054
46184,17657,0.1603900060938452
46184,17664,0.22034192484596024
46184,18101,0.08176100628930817
46184,2054,0.14228040127232688
46184,21000,0.176572535426649
46184,2146,0.19515248065543925
46184,2228,0.20019931347580555
46184,2229,0.18753887621812151
46184,2230,0.18526315789473685
46184,2312,0.18386941910705712
46184,2319,0.1682866184448463
46184,2320,0.13365247768145944
46184,2321,0.18376550169109357
46184,2335,0.20439483780955703
46184,2336,0.20696888474536768
46184,2337,0.1926561178886339
46184,2338,0.2158610444520626
46184,2339,0.20920991117344553
46184,2340,0.19856865599223678
46184,2341,0.2062899144475238
46184,2342,0.22719141323792486
46184,2402,0.16247466920967935
46184,2403,0.23887253590223886
46184,2404,0.20285597157693358
46184,2405,0.2217587185049224
46184,2406,0.09277058086084412
46184,2407,0.18591992258376677
